label,c
9.1.239483061.1,"{1,0,0,0,0,0,-1,0,0,1}"
10.2.4996793344.1,"{-1,0,0,0,1,0,2,0,2,0,1}"
9.1.31381059609.1,"{1,0,0,12,0,0,-6,0,0,1}"
9.1.24794911296.1,"{1,0,0,3,0,0,-3,0,0,1}"
8.0.4227136.1,"{1,0,1,0,1,0,0,0,1}"
8.0.3504384.1,"{1,0,1,0,-1,0,-1,0,1}"
3.1.23.1,"{1,0,-1,1}"
6.0.14731.1,"{1,0,-1,1,0,-1,1}"
6.0.14283.1,"{1,0,1,-2,1,-1,1}"
5.1.2209.1,"{1,0,-1,2,-2,1}"
10.0.1185762483.1,"{1,0,1,-4,3,-1,2,-2,2,-2,1}"
8.0.67108864.2,"{1,0,-4,0,4,0,0,0,1}"
4.0.229.1,"{1,-1,0,0,1}"
9.1.33860761.1,"{1,-1,0,0,2,-2,0,2,-2,1}"
10.0.306454347.1,"{1,-1,0,-3,2,2,2,-2,-1,0,1}"
9.1.449728821.1,"{-1,1,0,6,5,3,0,3,-1,1}"
6.0.11691.1,"{1,1,-1,0,0,-1,1}"
5.1.1609.1,"{1,1,-1,-1,0,1}"
4.0.117.1,"{1,1,-1,-1,1}"
8.4.56953125.1,"{1,1,-13,13,-5,2,2,-1,1}"
8.0.1361513.1,"{1,-1,2,-3,3,-3,2,-1,1}"
8.2.21434375.1,"{1,-1,2,-5,1,-5,2,-1,1}"
10.2.836077225.1,"{-1,-1,2,-6,8,-8,7,-5,4,-2,1}"
8.0.12008989.1,"{1,-1,3,0,-2,4,0,-1,1}"
5.1.35152.1,"{-1,1,-4,2,-1,1}"
8.0.1890625.1,"{1,-1,4,-7,9,-9,6,-3,1}"
9.1.846519025.1,"{1,1,-6,13,-7,7,-9,7,-3,1}"
8.0.1578125.1,"{1,2,0,-3,-1,3,0,-2,1}"
9.3.164590951.1,"{-1,2,0,-4,5,-2,-1,3,-2,1}"
10.2.113395848049.1,"{1,-2,0,-6,-1,-7,-1,-6,0,-2,1}"
6.2.287296.1,"{-1,-2,1,0,-2,0,1}"
9.3.1272491584.1,"{-1,-2,11,-11,5,-2,0,1,-1,1}"
8.0.167186432.1,"{1,2,2,0,1,0,2,-2,1}"
6.0.10051.1,"{1,-2,2,-2,2,-1,1}"
6.2.31213.1,"{1,-2,2,-3,2,-2,1}"
8.0.1257728.1,"{1,-2,3,0,-4,4,0,-2,1}"
8.2.7486875.1,"{-1,2,3,-5,-2,6,-1,-2,1}"
8.0.1327833.1,"{1,-2,4,-4,3,-2,1,-1,1}"
8.0.6036849.1,"{1,2,5,2,7,-2,5,-2,1}"
8.0.9453125.1,"{1,-2,8,-9,15,-9,8,-2,1}"
9.3.562419575.1,"{-1,-3,-2,-1,3,0,3,0,-1,1}"
9.3.110852311.1,"{1,3,-2,-8,-1,8,2,-4,-1,1}"
8.0.25401600.1,"{13,-4,16,-14,9,-10,4,-2,1}"
6.0.9747.1,"{1,-3,4,-2,1,-1,1}"
9.1.32206049.1,"{-1,3,-4,5,-6,6,-5,4,-2,1}"
8.0.4102893.1,"{1,-3,6,-6,5,-3,3,-3,1}"
6.2.242000.2,"{1,-4,2,-4,2,-2,1}"
9.3.357366875.1,"{1,4,4,-4,-7,2,4,-3,-1,1}"
8.0.3240000.1,"{1,-4,7,-3,-2,1,3,-3,1}"
8.0.3211264.1,"{1,-4,8,-8,7,-8,8,-4,1}"
9.9.36763077169.1,"{1,-5,2,20,-22,-14,22,-2,-4,1}"
8.2.107171875.1,"{1,-6,-7,5,1,0,2,-2,1}"
8.2.22665187.2,"{1,-6,7,-9,1,-2,1,-1,1}"
9.5.9829532736.1,"{-1,6,-9,1,9,-12,4,3,-3,1}"
9.9.62523502209.1,"{1,6,-9,-38,12,54,-4,-15,0,1}"
4.0.3136.1,"{2,0,2,-2,1}"
9.1.775511104.1,"{-2,0,4,-5,-1,6,-5,4,-3,1}"
10.0.5473632256.1,"{2,2,1,0,4,0,-2,0,2,-2,1}"
5.1.18496.1,"{2,-2,2,0,-1,1}"
10.0.5865429267.1,"{3,0,-5,0,5,0,-1,0,-2,0,1}"
8.0.1142440000.2,"{4,0,3,0,0,0,1,0,1}"
10.2.21894529024.1,"{-4,0,-3,0,-4,0,2,0,0,0,1}"
10.2.316329754624.1,"{-4,0,8,0,0,0,-4,0,-2,0,1}"
6.2.525625.1,"{5,0,-4,-1,1,-1,1}"
8.0.31443200.1,"{5,-14,21,-20,13,-6,3,-2,1}"
9.1.671898241.1,"{5,-4,-8,17,-15,8,-3,3,-3,1}"
9.9.164648481361.1,"{-7,42,0,-98,0,63,0,-14,0,1}"
9.9.5609891727441.1,"{-8,-132,204,81,-219,39,51,-15,-3,1}"
8.0.705911761.1,"{16,-8,4,-8,5,-4,1,-1,1}"
